Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1212,ShipOffers,346.7949%,$7668810,Health,Colorado,"Denver-Aurora, CO",14,http://www.inc.com/profile/shipoffers,2
1213,Isle Surf & SUP,346.3732%,$6333393,Retail,California,San Diego,12,http://www.inc.com/profile/isle-surf-sup,1
1214,Shelby Mechanical,345.8839%,$37134318,Construction,New Jersey,Philadelphia,100,http://www.inc.com/profile/shelby-mechanical,2
1215,TechShop,345.0294%,$12007694,Manufacturing,California,San Jose,145,http://www.inc.com/profile/techshop,3
1216,Tal Search Group,344.8395%,$6169425,IT Services,Florida,"Tallahassee, FL",55,http://www.inc.com/profile/tal-search-group,1
1217,The Credit Pros,344.7555%,$3888279,Financial Services,New Jersey,New York City,30,http://www.inc.com/profile/the-credit-pros,2
1218,MyDealerLot,344.7493%,$4138041,Software,Georgia,Atlanta,25,http://www.inc.com/profile/mydealerlot,2
1219,Midwest Restoration,344.5867%,$2502952,Construction,Wisconsin,"Appleton, WI",15,http://www.inc.com/profile/midwest-restoration,1
1220,Four Foods Group,344.4958%,$55762000,Food & Beverage,Utah,"Provo-Orem, UT",1070,http://www.inc.com/profile/four-foods-group,4
1221,VAVI,344.241%,$13427832,Consumer Products & Services,California,San Diego,32,http://www.inc.com/profile/vavi,3
1222,Information Technology Strategies,344.1021%,$10011128,Government Services,Virginia,"Washington, DC",55,http://www.inc.com/profile/information-technology-strategies,1
1223,Today's Growth Consultant,343.7238%,$6363000,IT Services,Illinois,Chicago,40,http://www.inc.com/profile/todays-growth-consultant,2
1224,Atlas RFID Solutions,343.6294%,$13781489,Software,Alabama,"Birmingham-Hoover, AL",57,http://www.inc.com/profile/atlas-rfid-solutions,4
1225,Crescent Communities,343.2965%,$497720000,Real Estate,North Carolina,Charlotte,166,http://www.inc.com/profile/crescent-communities,1
1226,Data-Dynamix,342.7079%,$8767117,Advertising & Marketing,Colorado,"Denver-Aurora, CO",14,http://www.inc.com/profile/data-dynamix,1
1227,Renters Warehouse,342.0394%,$13426147,Real Estate,Minnesota,Minneapolis,140,http://www.inc.com/profile/renters-warehouse,6
1228,Pinnacle Environmental Services,341.8034%,$4643080,Environmental Services,South Carolina,"Greenville-Mauldin-Easley, SC",7,http://www.inc.com/profile/pinnacle-environmental-services,1
1229,Chartis Consulting,341.4554%,$8009149,Government Services,Virginia,"Washington, DC",33,http://www.inc.com/profile/chartis-consulting,2
1230,American Financial Network,341.4512%,$87699054,Financial Services,California,"Riverside-San Bernardino-Ontario, CA",719,http://www.inc.com/profile/american-financial-network,1
1231,Denmore,341.1503%,$4356593,Consumer Products & Services,California,Los Angeles,32,http://www.inc.com/profile/denmore,1
1232,REI Network,340.8386%,$2179184,Real Estate,Texas,Houston,11,http://www.inc.com/profile/rei-network,2
1233,Black Mountain Systems,340.7554%,$23662898,Software,California,San Diego,98,http://www.inc.com/profile/black-mountain-systems,5
1234,Skookum,340.7197%,$9308000,IT Services,North Carolina,Charlotte,62,http://www.inc.com/profile/skookum,1
1235,Knowledge Delivery Systems,340.4973%,$9657679,Education,New York,New York City,39,http://www.inc.com/profile/knowledge-delivery-systems,2
1236,Applause,340.3203%,$37956719,Business Products & Services,Massachusetts,Boston,200,http://www.inc.com/profile/applause,4
1237,StandBy Talent Staffing Services,340.0167%,$3956855,Human Resources,Georgia,Atlanta,47,http://www.inc.com/profile/standby-talent-staffing-services,3
1238,ScribeAmerica,339.402%,$77534476,Health,Florida,Miami,5100,http://www.inc.com/profile/scribeamerica,5
